1112	OPEN	Using an Array[Byte] in a class causes ScalaJS compile to crash	bug	2026-02-23T08:20:15Z
1072	OPEN	Refined types		2026-02-18T22:55:36Z
1030	CLOSED	Schema: Replace custom Doc type with Docs Doc		2026-02-13T20:08:15Z
1025	OPEN	feat(scope): Resource pooling feature proposal — Pool[A] and ResourcePool[A]		2026-02-10T12:49:38Z
1024	OPEN	Add first-class YAML 1.2 support (schema-yaml module)		2026-02-18T21:20:04Z
1023	OPEN	Explicit Type Annotation Breaks `schema.derive[F <: codec.Format](format: F)`		2026-02-09T19:30:59Z
1018	CLOSED	Another TypeId inconsistency	bug	2026-02-10T06:39:05Z
1010	CLOSED	Inconsistent TypeIds with generics	bug	2026-02-08T08:43:27Z
1006	CLOSED	Set Up the Documentation Publishing Workflow	documentation	2026-02-11T20:53:58Z
1005	CLOSED	Wrong TypeId generated when using Neotype with a custom Schema	bug	2026-02-08T07:29:08Z
996	OPEN	feat: zio-blocks-template - Type-safe HTML templating micro library		2026-02-13T03:23:39Z
995	CLOSED	feat: ZIO Blocks HTML - Type-safe HTML templating micro library		2026-02-06T17:35:15Z
994	CLOSED	Design: Type-Safe HTML String Interpolator with Position-Based Typeclasses		2026-02-06T17:34:02Z
992	CLOSED	feat: Add mediatype micro library with compile-time validated interpolator	💎 Bounty, $500, 💰 Rewarded	2026-02-20T15:45:54Z
981	OPEN	Extend Into/As macros to have special support for DynamicValue		2026-02-05T13:07:14Z
979	CLOSED	Size of code generated by the TypeId macro		2026-02-07T06:57:32Z
978	OPEN	Refactor Codec Implementations to Use Idiomatic Implicit-Based Derivation		2026-02-05T13:07:53Z
949	OPEN	Implement combinators module (tuple combinators microlib)		2026-02-05T13:18:36Z
947	CLOSED	EitherAlternator incorrectly rejects same-type combinations		2026-02-01T17:02:28Z
945	OPEN	Update Scala Next version to 3.8.1 and remove the experimental flag and annotations		2026-02-02T15:14:23Z
943	CLOSED	Compile time slowdown after TypeId PR was merged		2026-02-03T08:21:12Z
934	CLOSED	About Scala Native		2026-02-08T16:44:19Z
926	CLOSED	Restore Scala 3 LTS version and remove @experimental		2026-02-01T12:05:57Z
919	CLOSED	Add Scaladoc generation as part of CI		2026-01-31T14:11:37Z
918	OPEN	Add OpenAPI micro-library		2026-02-07T18:19:49Z
911	OPEN	schema-xml: Zero-dependency XML support for ZIO Blocks		2026-01-30T21:30:41Z
910	OPEN	Implement Search Optic for recursive type/schema matching		2026-02-10T10:43:12Z
908	OPEN	Simplify `Deriver` binding parameter types to use concrete type aliases	enhancement, good first issue	2026-01-31T17:04:20Z
899	CLOSED	Add GitHub Flavored Markdown micro-library	💎 Bounty, $500, 💰 Rewarded	2026-02-12T00:12:39Z
883	CLOSED	Feature: Structural Type Support for Binding.of		2026-01-30T19:57:41Z
878	CLOSED	Default values no longer accessible from Deriver		2026-01-29T02:15:08Z
873	CLOSED	DynamicSchema: Serializable schema structure without runtime bindings		2026-01-30T02:20:55Z
871	CLOSED	Binding.of[A] macro for standalone binding derivation		2026-01-28T22:13:06Z
869	CLOSED	Move defaultValue/examples from Binding to Reflect		2026-01-27T20:43:50Z
868	CLOSED	Ensure ++ on JsonSelection & DynamicValueSelection does not lose errors		2026-01-29T14:25:21Z
863	CLOSED	Add validation to Schema/Reflect/Term/etc. toString()		2026-01-28T16:04:17Z
836	CLOSED	Documentation of Type-class Derivation	documentation	2026-02-11T20:50:45Z
802	CLOSED	Enhance toString of core data types	💎 Bounty, $500, 💰 Rewarded	2026-01-30T15:47:18Z
801	CLOSED	Enhance json interpolator	💎 Bounty, 💰 Rewarded, $1k	2026-01-26T22:06:58Z
793	OPEN	Install ZIO SBT CI Plugin	documentation	2026-01-26T04:47:59Z
788	CLOSED	Add transformOrFail to Schema		2026-01-21T17:49:08Z
768	CLOSED	`DerivedOptics.optics` is unusable outside `zio.blocks.schema`		2026-01-20T12:10:36Z
755	CLOSED	Implement p Path Interpolator Macro for DynamicOptic	💎 Bounty, $500, 💰 Rewarded	2026-01-19T22:35:36Z
753	CLOSED	/attempt #685		2026-01-19T19:56:09Z
708	CLOSED	[Closed] Opened by mistake		2026-01-16T00:29:08Z
685	CLOSED	Add JsonPatch - Depends on #679	💎 Bounty, 💰 Rewarded, $1k	2026-02-12T00:11:04Z
683	CLOSED	Port BSON Support to ZIO Schema 2	💎 Bounty, 💰 Rewarded, $1k	2026-01-23T21:53:17Z
682	CLOSED	Port Message Pack Support to ZIO Schema 2	💎 Bounty, 💰 Rewarded, $1k	2026-01-25T14:45:11Z
681	CLOSED	Port Thrift Support to ZIO Schema 2	💎 Bounty, 💰 Rewarded, $1k	2026-01-23T16:50:53Z
680	CLOSED	Port Protobuf Support to ZIO Schema 2	💎 Bounty, $1k	2026-01-14T23:39:36Z
679	CLOSED	Add Json data type	💎 Bounty, $2k, 💰 Rewarded	2026-01-21T23:23:17Z
656	CLOSED	Proposal: 19-Base Algebraic Transformation & Secure Migration Engine		2026-01-10T21:31:00Z
655	CLOSED	Implementation of TOON support with 19-base shift logic		2026-01-10T21:31:30Z
654	CLOSED	Add TOON support to ZIO Schema 2	💎 Bounty, $2k, 💰 Rewarded	2026-01-14T20:05:40Z
615	CLOSED	Recursive Schema Aspect Does Not Work Properly		2026-01-07T09:12:58Z
595	CLOSED	Documentation of Reflect Data Type	documentation	2026-01-07T15:54:32Z
592	CLOSED	Optimize CI		2026-01-18T07:25:02Z
584	CLOSED	Replicate ZIO Chunk (from zio/zio) into here	💎 Bounty, $500, 💰 Rewarded	2026-01-10T15:00:26Z
546	CLOSED	Documentation of Register-based Architecture of ZIO Blocks	documentation	2025-12-30T07:39:26Z
541	OPEN	direct mapping functionality between case classes		2025-12-25T22:06:43Z
519	OPEN	Schema Migration System for ZIO Schema 2	💎 Bounty, $4k	2026-02-21T07:07:29Z
518	CLOSED	Add `Into[A, B]` and `As[A, B]` Type Classes with Macro Derivation	💎 Bounty, $2.5k, 💰 Rewarded	2026-01-21T16:06:02Z
517	CLOSED	Add structural schemas	💎 Bounty, $2k, 💰 Rewarded	2026-02-11T14:12:55Z
516	CLOSED	Finalize Patch & Diffing	💎 Bounty, $3k, 💰 Rewarded	2026-01-14T19:49:05Z
514	CLOSED	Add annotation macros for Scala 2.13 and Scala 3.5+	💎 Bounty, $2k, 💰 Rewarded	2026-01-10T11:41:39Z
513	CLOSED	Avro should be renamed to 'schema-avro'		2025-12-18T16:19:22Z
511	CLOSED	Derivation failure for a enum nested inside a def		2025-12-18T06:11:28Z
471	CLOSED	Replace TypeName by TypeId & Macro Derivation	💎 Bounty, $3k, 💰 Rewarded	2026-02-11T14:12:21Z
462	CLOSED	JSON Schema Support	💎 Bounty, $2k, 💰 Rewarded	2026-01-27T13:36:28Z
459	CLOSED	Add JSON codec configurations from zio-schema & zio-json		2025-12-28T09:22:39Z
458	CLOSED	Add JSON schema derivation		2026-01-23T19:05:06Z
451	CLOSED	Add Schema#transformOrFail		2026-01-24T03:14:38Z
447	CLOSED	Schema Derivation error `Cannot derive schema for 'zio.Chunk[Byte]'`		2025-11-17T05:27:01Z
445	CLOSED	Failed to derive a Schema for neotype Subtype inside an Option		2025-11-17T02:57:36Z
433	CLOSED	Issue with construct when using wrapper + opaque type		2025-11-12T08:03:49Z
413	CLOSED	Inconsistent TypeName for opaque type wrapped in Option		2025-10-29T09:38:39Z
407	CLOSED	Name for a union type		2025-10-27T07:36:13Z
381	CLOSED	Lazy val initialization issue with Deferred		2025-10-03T13:52:03Z
368	CLOSED	Unexpected case names when cases are defined in another object		2025-09-29T07:03:36Z
365	CLOSED	Error trying to make a Schema for Chunk		2025-09-25T23:49:44Z
337	CLOSED	Usability of modifiers		2025-09-11T03:13:25Z
323	CLOSED	Unexpected TypeName when using Neotype inside an Option		2025-11-18T00:19:15Z
316	CLOSED	How to silence warnings triggered by derivation		2025-09-03T08:00:23Z
298	CLOSED	Exception during derivation for nested class without a Schema		2025-08-27T11:16:55Z
285	CLOSED	Error deriving opaque type fields		2025-08-27T08:21:59Z
231	CLOSED	Add logical operators (&&, ||) to `SchemaExpr`		2025-12-14T14:36:49Z
218	CLOSED	Add new node & binding type: wrapper		2025-09-02T12:57:23Z
215	CLOSED	[Deriver] Override an instance wherever it is used		2025-07-18T10:35:13Z
214	CLOSED	Exception when deriving a recursive type		2025-08-26T14:58:42Z
213	CLOSED	Support Named Tuples for Scala 3		2025-07-28T18:04:31Z
212	CLOSED	Optic collection navigation using `at` and `atKey` should preserve navigation path information when traversing nested fields		2025-07-13T06:27:29Z
204	CLOSED	Schema transformations		2025-10-30T10:28:53Z
199	CLOSED	Make it easier to create generic schemas outside of derivation		2025-07-04T11:21:20Z
198	CLOSED	Feedback on Registers		2025-07-08T00:25:40Z
193	CLOSED	Add support for newtypes and subtypes		2025-08-29T11:19:19Z
192	CLOSED	Add support for value classes		2025-07-31T12:25:37Z
188	CLOSED	Order of Variant terms		2025-07-01T09:08:46Z
179	CLOSED	Type Registry & Associated Machinery for Schema Serialization		2026-02-01T14:58:17Z
178	CLOSED	Port Over Avro Codec to Work Out Kinks in ZIO Schema 2 Codec		2026-01-07T07:48:58Z
177	CLOSED	Add At Optics		2025-07-08T10:48:23Z
163	CLOSED	More flexible usage of annotations or modifiers		2025-09-11T03:14:59Z
145	CLOSED	Derivation can't handle optional fields		2025-06-11T16:12:27Z
141	CLOSED	Record fields stored in a List and accessed by index		2025-06-09T09:34:03Z
111	CLOSED	I would like access to the underlying field name of a `Lens` somehow		2025-05-25T08:09:40Z
101	CLOSED	More replace/insert/remove methods for `Patch` wanted		2026-02-01T18:42:44Z
99	CLOSED	Ability to derive schema for recursive data structure without using of `@Modifier.deferred`		2025-06-05T12:42:56Z
98	CLOSED	Replace `field` and `caseOf` macros by single `optic`		2025-05-29T15:56:33Z
94	CLOSED	As a library developer, how do I integrate with Optics?		2025-05-23T17:08:19Z
89	CLOSED	Missing support of `derives` keyword when deriving schemas for Scala 3 enumeration cases		2025-06-18T19:55:50Z
86	CLOSED	Broken support of arrays by the `SecConstructor` instance for arrays		2025-07-03T23:46:49Z
79	CLOSED	`toDynamicValue` on a case class containing a simple enum results in a class cast exception		2025-05-17T06:35:37Z
72	CLOSED	Comparing unrelated types: A and _ in Lazy.scala		2025-05-17T06:59:07Z
51	OPEN	Support multiple mime types in one `Format`		2025-07-03T14:13:51Z
